"","DFU","Period","Demand","Opening","Supply","Min.Cov","Max.Cov"
"1","Item 000001",2022-07-03,364,6570,0,4,12
"2","Item 000001",2022-07-10,364,0,0,4,12
"3","Item 000001",2022-07-17,364,0,0,4,12
"4","Item 000001",2022-07-24,260,0,0,4,12
"5","Item 000001",2022-07-31,736,0,0,4,12
"6","Item 000001",2022-08-07,859,0,0,4,12
"7","Item 000001",2022-08-14,859,0,0,4,12
"8","Item 000001",2022-08-21,859,0,0,4,12
"9","Item 000001",2022-08-28,273,0,0,4,12
"10","Item 000001",2022-09-04,349,0,0,4,12
"11","Item 000001",2022-09-11,349,0,0,4,12
"12","Item 000001",2022-09-18,349,0,0,4,12
"13","Item 000001",2022-09-25,200,0,0,4,12
"14","Item 000001",2022-10-02,14,0,0,4,12
"15","Item 000001",2022-10-09,25,0,5000,4,12
"16","Item 000001",2022-10-16,32,0,0,4,12
"17","Item 000001",2022-10-23,17,0,0,4,12
"18","Item 000001",2022-10-30,367,0,0,4,12
"19","Item 000001",2022-11-06,514,0,0,4,12
"20","Item 000001",2022-11-13,514,0,0,4,12
"21","Item 000001",2022-11-20,514,0,0,4,12
"22","Item 000001",2022-11-27,506,0,0,4,12
"23","Item 000001",2022-12-04,837,0,1187,4,12
"24","Item 000001",2022-12-11,837,0,0,4,12
"25","Item 000001",2022-12-18,837,0,0,4,12
"26","Item 000001",2022-12-25,479,0,0,4,12
"27","Item 000001",2023-01-01,69,0,0,4,12
"28","Item 000001",2023-01-08,62,0,0,4,12
"29","Item 000001",2023-01-15,52,0,0,4,12
"30","Item 000001",2023-01-22,82,0,0,4,12
"31","Item 000001",2023-01-29,107,0,0,4,12
"32","Item 000001",2023-02-05,187,0,0,4,12
"33","Item 000001",2023-02-12,187,0,0,4,12
"34","Item 000001",2023-02-19,187,0,0,4,12
"35","Item 000001",2023-02-26,81,0,0,4,12
"36","Item 000001",2023-03-05,440,0,0,4,12
"37","Item 000001",2023-03-12,617,0,0,4,12
"38","Item 000001",2023-03-19,617,0,0,4,12
"39","Item 000001",2023-03-26,617,0,0,4,12
"40","Item 000001",2023-04-02,607,0,0,4,12
"41","Item 000001",2023-04-09,1004,0,0,4,12
"42","Item 000001",2023-04-16,1004,0,0,4,12
"43","Item 000001",2023-04-23,1004,0,0,4,12
"44","Item 000001",2023-04-30,575,0,0,4,12
"45","Item 000001",2023-05-07,83,0,0,4,12
"46","Item 000001",2023-05-14,74,0,0,4,12
"47","Item 000001",2023-05-21,62,0,0,4,12
"48","Item 000001",2023-05-28,98,0,0,4,12
"49","Item 000001",2023-06-04,128,0,0,4,12
"50","Item 000001",2023-06-11,224,0,0,4,12
"51","Item 000001",2023-06-18,224,0,0,4,12
"52","Item 000001",2023-06-25,224,0,0,4,12
"53","Item 000002",2022-07-03,1419,5509,0,8,16
"54","Item 000002",2022-07-10,1419,0,0,8,16
"55","Item 000002",2022-07-17,1419,0,0,8,16
"56","Item 000002",2022-07-24,1014,0,10367,8,16
"57","Item 000002",2022-07-31,721,0,0,8,16
"58","Item 000002",2022-08-07,841,0,0,8,16
"59","Item 000002",2022-08-14,841,0,0,8,16
"60","Item 000002",2022-08-21,841,0,0,8,16
"61","Item 000002",2022-08-28,1160,0,4753,8,16
"62","Item 000002",2022-09-04,2427,0,0,8,16
"63","Item 000002",2022-09-11,2427,0,0,8,16
"64","Item 000002",2022-09-18,2427,0,0,8,16
"65","Item 000002",2022-09-25,1502,0,0,8,16
"66","Item 000002",2022-10-02,807,0,1944,8,16
"67","Item 000002",2022-10-09,807,0,647,8,16
"68","Item 000002",2022-10-16,807,0,0,8,16
"69","Item 000002",2022-10-23,692,0,0,8,16
"70","Item 000002",2022-10-30,510,0,0,8,16
"71","Item 000002",2022-11-06,714,0,0,8,16
"72","Item 000002",2022-11-13,714,0,0,8,16
"73","Item 000002",2022-11-20,714,0,0,8,16
"74","Item 000002",2022-11-27,216,0,0,8,16
"75","Item 000002",2022-12-04,28,0,216,8,16
"76","Item 000002",2022-12-11,28,0,0,8,16
"77","Item 000002",2022-12-18,28,0,0,8,16
"78","Item 000002",2022-12-25,1703,0,0,8,16
"79","Item 000002",2023-01-01,1703,0,0,8,16
"80","Item 000002",2023-01-08,1703,0,0,8,16
"81","Item 000002",2023-01-15,1217,0,0,8,16
"82","Item 000002",2023-01-22,865,0,0,8,16
"83","Item 000002",2023-01-29,1009,0,0,8,16
"84","Item 000002",2023-02-05,1009,0,0,8,16
"85","Item 000002",2023-02-12,1009,0,0,8,16
"86","Item 000002",2023-02-19,1392,0,0,8,16
"87","Item 000002",2023-02-26,2912,0,0,8,16
"88","Item 000002",2023-03-05,2912,0,0,8,16
"89","Item 000002",2023-03-12,2912,0,0,8,16
"90","Item 000002",2023-03-19,1802,0,0,8,16
"91","Item 000002",2023-03-26,968,0,0,8,16
"92","Item 000002",2023-04-02,968,0,0,8,16
"93","Item 000002",2023-04-09,968,0,0,8,16
"94","Item 000002",2023-04-16,830,0,0,8,16
"95","Item 000002",2023-04-23,612,0,0,8,16
"96","Item 000002",2023-04-30,857,0,0,8,16
"97","Item 000002",2023-05-07,857,0,0,8,16
"98","Item 000002",2023-05-14,857,0,0,8,16
"99","Item 000002",2023-05-21,259,0,0,8,16
"100","Item 000002",2023-05-28,1100,0,0,8,16
"101","Item 000002",2023-06-04,1600,0,0,8,16
"102","Item 000002",2023-06-11,1600,0,0,8,16
"103","Item 000002",2023-06-18,1600,0,0,8,16
"104","Item 000002",2023-06-25,1000,0,0,8,16
"105","Item 000003",2022-07-03,265,2494,0,4,12
"106","Item 000003",2022-07-10,265,0,0,4,12
"107","Item 000003",2022-07-17,265,0,0,4,12
"108","Item 000003",2022-07-24,189,0,0,4,12
"109","Item 000003",2022-07-31,29,0,0,4,12
"110","Item 000003",2022-08-07,34,0,0,4,12
"111","Item 000003",2022-08-14,34,0,0,4,12
"112","Item 000003",2022-08-21,34,0,0,4,12
"113","Item 000003",2022-08-28,23,0,0,4,12
"114","Item 000003",2022-09-04,42,0,0,4,12
"115","Item 000003",2022-09-11,42,0,0,4,12
"116","Item 000003",2022-09-18,42,0,0,4,12
"117","Item 000003",2022-09-25,50,0,0,4,12
"118","Item 000003",2022-10-02,178,0,0,4,12
"119","Item 000003",2022-10-09,178,0,0,4,12
"120","Item 000003",2022-10-16,178,0,0,4,12
"121","Item 000003",2022-10-23,152,0,0,4,12
"122","Item 000003",2022-10-30,24,0,0,4,12
"123","Item 000003",2022-11-06,34,0,0,4,12
"124","Item 000003",2022-11-13,34,0,0,4,12
"125","Item 000003",2022-11-20,34,0,0,4,12
"126","Item 000003",2022-11-27,41,0,0,4,12
"127","Item 000003",2022-12-04,72,0,0,4,12
"128","Item 000003",2022-12-11,72,0,0,4,12
"129","Item 000003",2022-12-18,72,0,0,4,12
"130","Item 000003",2022-12-25,42,0,0,4,12
"131","Item 000003",2023-01-01,243,0,0,4,12
"132","Item 000003",2023-01-08,243,0,0,4,12
"133","Item 000003",2023-01-15,243,0,0,4,12
"134","Item 000003",2023-01-22,243,0,0,4,12
"135","Item 000003",2023-01-29,90,0,0,4,12
"136","Item 000003",2023-02-05,156,0,3000,4,12
"137","Item 000003",2023-02-12,156,0,0,4,12
"138","Item 000003",2023-02-19,156,0,0,4,12
"139","Item 000003",2023-02-26,150,0,0,4,12
"140","Item 000003",2023-03-05,145,0,0,4,12
"141","Item 000003",2023-03-12,145,0,0,4,12
"142","Item 000003",2023-03-19,145,0,0,4,12
"143","Item 000003",2023-03-26,83,0,0,4,12
"144","Item 000003",2023-04-02,145,0,0,4,12
"145","Item 000003",2023-04-09,145,0,0,4,12
"146","Item 000003",2023-04-16,145,0,0,4,12
"147","Item 000003",2023-04-23,124,0,0,4,12
"148","Item 000003",2023-04-30,46,0,0,4,12
"149","Item 000003",2023-05-07,53,0,0,4,12
"150","Item 000003",2023-05-14,53,0,0,4,12
"151","Item 000003",2023-05-21,53,0,0,4,12
"152","Item 000003",2023-05-28,70,0,0,4,12
"153","Item 000003",2023-06-04,145,0,0,4,12
"154","Item 000003",2023-06-11,145,0,0,4,12
"155","Item 000003",2023-06-18,145,0,0,4,12
"156","Item 000003",2023-06-25,83,0,0,4,12
"157","Item 000004",2022-07-03,1296,7172,0,2,6
"158","Item 000004",2022-07-10,1296,0,0,2,6
"159","Item 000004",2022-07-17,1296,0,0,2,6
"160","Item 000004",2022-07-24,926,0,0,2,6
"161","Item 000004",2022-07-31,678,0,0,2,6
"162","Item 000004",2022-08-07,791,0,0,2,6
"163","Item 000004",2022-08-14,791,0,0,2,6
"164","Item 000004",2022-08-21,791,0,10000,2,6
"165","Item 000004",2022-08-28,560,0,0,2,6
"166","Item 000004",2022-09-04,1042,0,0,2,6
"167","Item 000004",2022-09-11,1042,0,0,2,6
"168","Item 000004",2022-09-18,1042,0,0,2,6
"169","Item 000004",2022-09-25,785,0,0,2,6
"170","Item 000004",2022-10-02,1329,0,0,2,6
"171","Item 000004",2022-10-09,1329,0,0,2,6
"172","Item 000004",2022-10-16,1329,0,0,2,6
"173","Item 000004",2022-10-23,1139,0,0,2,6
"174","Item 000004",2022-10-30,1452,0,0,2,6
"175","Item 000004",2022-11-06,2032,0,0,2,6
"176","Item 000004",2022-11-13,2032,0,0,2,6
"177","Item 000004",2022-11-20,2032,0,10000,2,6
"178","Item 000004",2022-11-27,653,0,0,2,6
"179","Item 000004",2022-12-04,169,0,0,2,6
"180","Item 000004",2022-12-11,169,0,0,2,6
"181","Item 000004",2022-12-18,169,0,0,2,6
"182","Item 000004",2022-12-25,1814,0,0,2,6
"183","Item 000004",2023-01-01,1814,0,0,2,6
"184","Item 000004",2023-01-08,1814,0,0,2,6
"185","Item 000004",2023-01-15,1296,0,0,2,6
"186","Item 000004",2023-01-22,949,0,0,2,6
"187","Item 000004",2023-01-29,1107,0,0,2,6
"188","Item 000004",2023-02-05,1107,0,0,2,6
"189","Item 000004",2023-02-12,1107,0,0,2,6
"190","Item 000004",2023-02-19,784,0,0,2,6
"191","Item 000004",2023-02-26,1459,0,0,2,6
"192","Item 000004",2023-03-05,1459,0,0,2,6
"193","Item 000004",2023-03-12,1459,0,0,2,6
"194","Item 000004",2023-03-19,1099,0,0,2,6
"195","Item 000004",2023-03-26,1861,0,0,2,6
"196","Item 000004",2023-04-02,1861,0,0,2,6
"197","Item 000004",2023-04-09,1861,0,0,2,6
"198","Item 000004",2023-04-16,1595,0,0,2,6
"199","Item 000004",2023-04-23,2033,0,0,2,6
"200","Item 000004",2023-04-30,2845,0,0,2,6
"201","Item 000004",2023-05-07,2845,0,0,2,6
